control_number,n_lines,n_taxa,n_class,n_species,qty_total,value_total,value_missing,taxa,country_origin,country_imp_exp,port,purpose,source,year,month,target
2000721769,3,3,2,3,5267,2427,0,crustacean,LK,LK,LA,T,W,2000,1,0
2000721770,2,2,1,2,1963,1037,0,fish,PH,PH,LA,T,W,2000,1,0
2000721776,9,1,1,9,148,2400,0,reptile,ID,ID,LA,T,W,2000,1,0
2000721777,2,2,2,2,3175,1503,0,amphibian,NG,NG,LA,T,W,2000,1,0
2000721786,27,4,3,26,2140,3886,0,coral,TO,TO,LA,T,W,2000,2,0
2000721791,18,2,2,17,731,2830,0,coral,ID,ID,LA,T,W,2000,1,0
2000721813,1,1,1,1,6816,325,0,shell,JP,CN,LA,T,W,2000,1,0
2000721830,4,1,1,2,17,1131,0,reptile,US,IT,NY,T,C,2000,1,0
2000721843,1,1,0,1,5781,9815,0,shell,PH,PH,LA,T,W,2000,2,0
2000721844,4,3,2,4,2965,3773,0,coral,FJ,FJ,LA,T,W,2000,2,0
2000721857,1,1,1,1,11700,2760,0,fish,LK,LK,LA,T,W,2000,2,0
2000721868,1,1,1,1,1250,21924,0,mammal,NZ,NZ,LA,T,W,2000,1,0
2000721904,4,2,2,4,4,200,0,mammal,ZW,ZW,LA,T,W,2000,1,0
2000721914,3,2,2,3,36884,6121,0,amphibian,ID,ID,LA,T,W,2000,1,0
2000721923,1,1,1,1,2,47,0,mammal,US,IT,NY,T,W,2000,2,0
2000721978,6,5,4,6,1174,4762,0,shell,PW,PW,LA,T,W,2000,1,0
2000721986,2,2,1,2,3730,1238,0,fish,ID,ID,LA,,W,2000,1,0
2000722009,1,1,1,1,9675,3059,0,fish,CO,CO,LA,T,W,2000,1,0
2000722041,1,1,1,1,12500,173250,0,bird,CN,CN,LA,T,C,2000,1,0
2000722044,1,1,1,1,52,11710,0,shell,CN,HK,LA,T,W,2000,1,0
2000722045,2,1,2,2,4176,129,0,shell,JP,HK,LA,T,W,2000,1,0
2000722052,1,1,1,1,2600,3875,0,fish,TW,TW,LA,T,C,2000,1,0
2000722055,6,2,2,6,9,73,0,mammal,ZA,ZA,LA,non-standard value,W,2000,1,0
2000722064,2,2,2,2,5703,1265,0,amphibian,SG,SG,LA,T,C,2000,1,0
2000722065,1,1,1,1,37221,3727,0,fish,CO,CO,LA,T,W,2000,1,0
2000722089,7,2,2,7,558,6261,0,reptile,ID,ID,LA,T,W,2000,1,0
2000722090,4,2,2,4,103,514,0,bird,GB,GB,LA,T,W,2000,1,0
2000722093,2,2,2,2,1264,17380,0,bird,CO,CO,LA,T,W,2000,1,0
2000722096,31,4,4,28,5994,1954,0,reptile,VN,VN,LA,T,W,2000,1,0
2000722106,1,1,1,1,23778,8254,0,fish,ID,ID,LA,T,W,2000,1,0
2000722107,1,1,1,1,750,1109,0,fish,TH,TH,LA,T,W,2000,1,0
2000722108,1,1,1,1,200,360,0,insect,MY,MY,LA,non-standard value,W,2000,1,0
2000722117,3,3,2,3,3949,962,0,crustacean,PH,PH,LA,T,W,2000,1,0
